Airline,Departure_Time,Arrival_Time,Duration,Departure,Destination,Date,Total_Stops,SClass,Price
Vietnam Airlines,19:50,21:05,75,VDH,HAN,18-04-2025,0,BUSINESS,2654000
Vietnam Airlines,09:15,15:40,385,VII,PQC,18-04-2025,1,BUSINESS,8983000
Vietnam Airlines,09:50,18:05,495,PXU,PQC,17-04-2025,1,ECONOMY,1735000
Bamboo Airways,09:50,11:10,80,VII,BMV,17-04-2025,0,BUSINESS,1859000
Vietnam Airlines,12:05,13:20,75,SGN,DAD,15-04-2025,0,ECONOMY,2536000
Vietnam Airlines,12:35,14:15,100,HUI,SGN,21-04-2025,0,ECONOMY,1664000
Bamboo Airways,16:05,17:35,90,DAD,SGN,16-04-2025,0,ECONOMY,1258000
Vietnam Airlines,09:10,18:30,560,DAD,VII,17-04-2025,1,ECONOMY,3652000
Vietnam Airlines,15:30,22:55,445,DLI,DAD,17-04-2025,1,ECONOMY,3039000
Bamboo Airways,08:05,09:15,70,DAD,DLI,20-04-2025,0,PREMIUM_ECONOMY,2044000
Vietnam Airlines,09:00,14:00,300,VII,DAD,20-04-2025,1,BUSINESS,8438000
Vietnam Airlines,11:20,17:30,370,VII,DAD,16-04-2025,1,ECONOMY,2566000
Vietnam Airlines,09:15,17:25,490,TBB,DAD,15-04-2025,1,ECONOMY,3100000
Bamboo Airways,07:55,21:05,790,VCS,PQC,18-04-2025,1,ECONOMY,2279000
Bamboo Airways,09:15,21:10,715,TBB,CXR,21-04-2025,1,ECONOMY,4279000
Bamboo Airways,08:15,09:45,90,HAN,DAD,16-04-2025,0,ECONOMY,1854000
Vietnam Airlines,15:10,16:35,85,DAD,HAN,15-04-2025,0,BUSINESS,4914000
VietJet Air,19:00,20:50,110,CXR,HAN,20-04-2025,0,ECONOMY,2375900
Bamboo Airways,08:15,09:45,90,HAN,DAD,16-04-2025,0,PREMIUM_ECONOMY,3483000
Vietnam Airlines,06:40,07:45,65,VCS,SGN,21-04-2025,0,ECONOMY,1723000
Vietnam Airlines,07:00,13:10,370,HAN,PQC,16-04-2025,1,ECONOMY,2698000
VietJet Air,08:45,10:45,120,THD,SGN,18-04-2025,0,PREMIUM_ECONOMY,4667000
VietJet Air,17:40,19:05,85,DAD,SGN,15-04-2025,0,ECONOMY,1681900
Bamboo Airways,19:50,21:05,75,PXU,SGN,20-04-2025,0,PREMIUM_ECONOMY,1985000
Bamboo Airways,22:25,23:55,90,DAD,SGN,19-04-2025,0,BUSINESS,2365000
Vietnam Airlines,12:05,19:15,430,DAD,PQC,17-04-2025,1,BUSINESS,6878000
